Products, Price
Big Mac, $6.60  2360 kJ
Medium Big Mac Meal, $11.75  2360 kJ
Small Big Mac Meal, $10.95  2360 kJ
Large Big Mac Meal, $12.55  2360 kJ
Hot Fudge Sundae, $3.00  1490 kJ
Hot Fudge Sundae, $4.25  2320 kJ
McCafé - Cappuccino, $4.25  504 kJ
Fries, $2.00  860 kJ
Medium Fries, $3.15  1240 kJ
Large Fries, $3.65  1530 kJ
Chocolate Shake, $4.35  1150 kJ
Medium Chocolate Shake, $4.85  1550 kJ
Medium Chocolate Shake, $4.85  1550 kJ
Sprite®, $3.35  378 kJ
Medium Sprite®, $3.80  541 kJ
Large Sprite®, $4.10  827 kJ
