"Store Address",Suburb,Products,Price,Caloire Info
"201 Pacific Highway",St Leonards,Big Mac,$6.95,2360kJ 
"201 Pacific Highway",St Leonards,Medium Big Mac Meal,$11.85,2360kJ 
"201 Pacific Highway",St Leonards,Small Big Mac Meal,$11.05,2360kJ 
"201 Pacific Highway",St Leonards,Large Big Mac Meal,$12.65,2360kJ 
"201 Pacific Highway",St Leonards, Latte,$4.10,473kJ 
"201 Pacific Highway",St Leonards,Medium Latté ,$4.75,687kJ 
"201 Pacific Highway",St Leonards,Large Latté ,$5.10,745kJ 
"201 Pacific Highway",St Leonards, Iced Mocha,$4.90,1090kJ 
"201 Pacific Highway",St Leonards,Medium Iced Mocha ,$5.50,1740kJ 
"201 Pacific Highway",St Leonards,Large Iced Mocha ,$5.90,2390kJ 
"201 Pacific Highway",St Leonards,OREO® McFlurry,$4.00,1380kJ 
"201 Pacific Highway",St Leonards,Sprite® Zero Sugar,$3.45,8kJ 
"201 Pacific Highway",St Leonards,Medium Sprite® Zero Sugar,$3.95,12kJ 
"201 Pacific Highway",St Leonards,Large Sprite® Zero Sugar,$4.35,18kJ 
