"Store Address",Suburb,Products,Price,Caloire Info
"Cnr. Hammond Avenue & Kooringal Road",Wagga Wagga, Latte,$4.10,473kJ 
"Cnr. Hammond Avenue & Kooringal Road",Wagga Wagga,Medium Latté ,$4.65,687kJ 
"Cnr. Hammond Avenue & Kooringal Road",Wagga Wagga,Large Latté ,$5.20,745kJ 
"Cnr. Hammond Avenue & Kooringal Road",Wagga Wagga, Iced Mocha,$4.60,1090kJ 
"Cnr. Hammond Avenue & Kooringal Road",Wagga Wagga,Medium Iced Mocha ,$5.25,1740kJ 
"Cnr. Hammond Avenue & Kooringal Road",Wagga Wagga,Large Iced Mocha ,$5.75,2390kJ 
"Cnr. Hammond Avenue & Kooringal Road",Wagga Wagga,OREO® McFlurry,$4.00,1380kJ 
"Cnr. Hammond Avenue & Kooringal Road",Wagga Wagga,Sprite® Zero Sugar,$3.55,8kJ 
"Cnr. Hammond Avenue & Kooringal Road",Wagga Wagga,Medium Sprite® Zero Sugar,$4.10,12kJ 
"Cnr. Hammond Avenue & Kooringal Road",Wagga Wagga,Large Sprite® Zero Sugar,$4.55,18kJ 
