"Store Address",Suburb,Products,Price,Caloire Info
"Shellharbour Road",Warilla,Big Mac,$7.00,2360kJ 
"Shellharbour Road",Warilla,Medium Big Mac Meal,$11.90,2360kJ 
"Shellharbour Road",Warilla,Small Big Mac Meal,$11.10,2360kJ 
"Shellharbour Road",Warilla,Large Big Mac Meal,$12.70,2360kJ 
"Shellharbour Road",Warilla, Latte,$4.15,473kJ 
"Shellharbour Road",Warilla,Medium Latté ,$4.75,687kJ 
"Shellharbour Road",Warilla,Large Latté ,$5.20,745kJ 
"Shellharbour Road",Warilla, Iced Mocha,$4.95,1090kJ 
"Shellharbour Road",Warilla,Medium Iced Mocha ,$5.45,1740kJ 
"Shellharbour Road",Warilla,Large Iced Mocha ,$5.90,2390kJ 
"Shellharbour Road",Warilla,OREO® McFlurry,$4.00,1380kJ 
"Shellharbour Road",Warilla,Sprite®,$3.15,378kJ 
