"Store Address",Suburb,Products,Price,Caloire Info
"St Ives Shopping Village, Mona Vale Rd",St Ives,Big Mac,$6.75,2360kJ 
"St Ives Shopping Village, Mona Vale Rd",St Ives,Medium Big Mac Meal,$11.20,2360kJ 
"St Ives Shopping Village, Mona Vale Rd",St Ives,Small Big Mac Meal,$10.40,2360kJ 
"St Ives Shopping Village, Mona Vale Rd",St Ives,Large Big Mac Meal,$12.00,2360kJ 
"St Ives Shopping Village, Mona Vale Rd",St Ives, Latte,$4.00,473kJ 
"St Ives Shopping Village, Mona Vale Rd",St Ives,Medium Latté ,$4.50,687kJ 
"St Ives Shopping Village, Mona Vale Rd",St Ives,Large Latté ,$4.85,745kJ 
"St Ives Shopping Village, Mona Vale Rd",St Ives, Iced Mocha,$5.00,1090kJ 
"St Ives Shopping Village, Mona Vale Rd",St Ives,Medium Iced Mocha ,$5.55,1740kJ 
"St Ives Shopping Village, Mona Vale Rd",St Ives,Large Iced Mocha ,$6.00,2390kJ 
"St Ives Shopping Village, Mona Vale Rd",St Ives,OREO® McFlurry,$4.00,1380kJ 
"St Ives Shopping Village, Mona Vale Rd",St Ives,Sprite® Zero Sugar,$3.30,8kJ 
"St Ives Shopping Village, Mona Vale Rd",St Ives,Medium Sprite® Zero Sugar,$3.95,12kJ 
"St Ives Shopping Village, Mona Vale Rd",St Ives,Large Sprite® Zero Sugar,$4.50,18kJ 
